Title,Year,Score,Adjusted Score,Rank,Consensus,Directors,Cast,Synopsis
Running Scared,1986,59,59.009,140,"Running Scared struggles to strike a consistent balance between violent action and humor, but the chemistry between its well-matched leads keeps things entertaining.",Peter Hyams,"Gregory Hines, Billy Crystal, Jimmy Smits, Steven Bauer","Ray and Danny (Gregory Hines, Billy Crystal) are two Chicago police detectives hot on the trail of drug kingpin Julio..."
Equilibrium,2002,41,42.592,139,Equilibrium is a reheated mishmash of other sci-fi movies.,Kurt Wimmer,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen","In a futuristic world, a regime has eliminated war by suppressing emotions: books, art and music are strictly forbidden and..."
Hero,2002,94,102.657,138,"With death-defying action sequences and epic historic sweep, Hero offers everything a martial arts fan could ask for.",Zhang Yimou,"Jet Li, Tony Leung Chiu Wai, Maggie Cheung Man-yuk, Donnie Yen","In this visually arresting martial arts epic set in ancient China, an unnamed fighter (Jet Li) is being honored for..."
Road House,1989,37,40.014,137,Whether Road House is simply bad or so bad it's good depends largely on the audience's fondness for Swayze -- and tolerance for violently cheesy action.,Rowdy Herrington,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara","The Double Deuce is the meanest, loudest and rowdiest bar south of the Mason-Dixon Line, and Dalton (Patrick Swayze) has..."
Unstoppable,2010,87,93.76,136,"As fast, loud, and relentless as the train at the center of the story, Unstoppable is perfect popcorn entertainment -- and director Tony Scott's best movie in years.",Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Kevin Dunn","When a massive, unmanned locomotive roars out of control, the threat is more ominous than just a derailment. The train..."
Shaft,1971,86,88.926,135,"This is the man that would risk his neck for his brother, man. Can you dig it?",Gordon Parks,"Richard Roundtree, Moses Gunn, Christopher St. John, Charles Cioffi","John Shaft (Richard Roundtree) is the ultimate in suave black detectives. He first finds himself up against Bumpy (Moses Gunn),..."
The Villainess,2017,85,90.99,134,The Villainess offers enough pure kinetic thrills to satisfy genre enthusiasts -- and carve out a bloody niche for itself in modern Korean action cinema.,Jeong Byeong-gil,"Kim Ok-bin, Shin Ha-kyun, Sung Joon, Kim Seo-hyung","Honed from childhood to be an elite assassin, Sook-hee embarks on a rampage of violence and revenge to finally earn..."
Highlander,1986,70,73.015,133,"People hate Highlander because it's cheesy, bombastic, and absurd. And people love it for the same reasons.",Russell Mulcahy,"Christopher Lambert, Sean Connery, Roxanne Hart, Clancy Brown",When the mystical Russell Nash (Christopher Lambert) kills a man in a sword fight in a New York City parking...
Die Hard 2,1990,69,72.288,132,"It lacks the fresh thrills of its predecessor, but Die Hard 2 still works as an over-the-top -- and reasonably taut -- big-budget sequel, with plenty of set pieces to paper over the plot deficiencies.",Renny Harlin,"Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson","A year after his heroics in L.A, detective John McClane (Bruce Willis) is mixed up in another terrorist plot, this..."
National Treasure,2004,46,52.231,131,"National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot.",Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean",Historian and code-breaker Ben Gates (Nicolas Cage) has been searching his whole life for a rumored treasure dating back to...
The Protector,2005,53,56.4,130,"Despite some impressive fight scenes, this trimmed-down version of the Thai action pic is an off-putting mix of scant plot, choppy editing, and confusing subtitles and dubbing.",Prachya Pinkaew,"Tony Jaa, Johnny Nguyen, Nathan Jones, Petchtai Wongkamlao",A young fighter (Tony Jaa) travels to Australia to retrieve stolen elephants that were promised originally to the king of...
